field,esu,ssu,weight_bowl,weight_wet,weight_dry,,
F2,ESU1,SSU1,12.6,65.6,25.4,,
F2,ESU1,SSU2,11.4,84.6,29.6,,
F2,ESU1,SSU3,12.6,85.7,31.2,,
F2,ESU1,SSU4,12.8,87,29.7,,
F2,ESU1,SSU5,10,92.1,45.5,,
F2,ESU1,SSU6,12.9,67.1,27,,
F2,ESU1,SSU7,12.7,77.6,27.9,,
F2,ESU1,SSU8,12.7,70.2,26.7,,
F2,ESU1,SSU9,12.8,77.6,27.3,,
F2,ESU1,SSUA,12.7,64.2,24.2,,
F2,ESU1,SSUB,10,70.8,24.9,,
F2,ESU1,SSUC,12.7,71.5,26.4,,
F2,ESU1,SSUD,12.7,80.8,29,,
F2,ESU2,SSU1,11.6,63.5,24.4,,
F2,ESU2,SSU2,11.4,70.2,26.2,,
F2,ESU2,SSU3,12.7,57.8,22.6,,
F2,ESU2,SSU4,12.8,72.6,27.4,,
F2,ESU2,SSU5,10.1,80,42.7,,
F2,ESU2,SSU6,10.1,65.3,24,,
F2,ESU2,SSU7,9.9,68.1,24.8,,
F2,ESU2,SSU8,10.1,72.6,25.9,,
F2,ESU2,SSU9,10,70.2,25.5,,
F2,ESU2,SSUA,10.1,66.6,24.2,,
F2,ESU2,SSUB,10.1,66.6,23.6,,
F2,ESU2,SSUC,10,65.6,24.5,,
F2,ESU2,SSUD,12.6,57.7,23.5,,
F1,ESU1,SSU1,11.5,60.4,25,,
F1,ESU1,SSU2,12.8,70.5,28.5,,
F1,ESU1,SSU3,10.7,76.6,30.3,,
F1,ESU1,SSU4,12.7,67,29.4,,
F1,ESU1,SSU5,10.3,69.2,26.6,,
F1,ESU1,SSU6,12.7,63.3,26.8,,
F1,ESU1,SSU7,11.5,64.7,27.1,,
F1,ESU1,SSU8,11.3,73.1,28.3,,
F1,ESU1,SSU9,11.3,65.7,26,,
F1,ESU1,SSUA,12.7,72.2,29.4,,
F1,ESU1,SSUB,12.6,78,26,,
F1,ESU1,SSUC,12.6,68.9,28.3,,
F1,ESU1,SSUD,12.5,77.2,30.7,,
F1,ESU2,SSU1,12.7,61.3,25.1,,
F1,ESU2,SSU2,12.7,73.1,29.1,,
F1,ESU2,SSU3,12.7,74.8,29.4,,
F1,ESU2,SSU4,12.6,71.2,28.7,,
F1,ESU2,SSU5,12.7,66.9,27.1,,
F1,ESU2,SSU6,11.4,68.6,26.7,,
F1,ESU2,SSU7,11.6,72.9,27.9,,
F1,ESU2,SSU8,12.6,71.5,27.8,,
F1,ESU2,SSU9,12.6,71.7,27.7,,
F1,ESU2,SSUA,11.6,76.4,28.8,,
F1,ESU2,SSUB,11.4,64.6,25.8,,
F1,ESU2,SSUC,11.4,72.1,28.3,,
F1,ESU2,SSUD,12.7,71.8,28.2,,
F1,ESU3,SSU1,11.4,,17.7,,
F1,ESU3,SSU2,12.5,,19.5,,
F1,ESU3,SSU3,12.7,,19.2,,
F1,ESU3,SSU4,11.4,,16.3,,
F1,ESU3,SSU5,11.6,,18.9,,
F1,ESU3,SSU6,12.6,,19.4,,
F1,ESU3,SSU7,12.7,,27.2,,
F1,ESU3,SSU8,12.6,,27.8,,
F1,ESU3,SSU9,12.7,,26.1,,
F1,ESU3,SSUA,12.7,,19.9,,
F1,ESU3,SSUB,12.8,,17.4,,
F1,ESU3,SSUC,12.6,,28.8,,
F1,ESU3,SSUD,12.7,,18.2,,
